UT,AU,AF,C1
WOS:001011152200001,"Donovan, K; Lu, WJ; Schoellman, T","Donovan, Kevin; Lu, Will Jianyu; Schoellman, Todd","[Donovan, Kevin] Yale Sch Management, New Haven, CT 06511 USA; Cent Bank Chile, Santiago, Chile; Fed Reserve Bank Minneapolis, Minneapolis, MN USA"
WOS:000847148900001,"Cullen, Z; Dobbie, W; Hoffman, M","Cullen, Zoe; Dobbie, Will; Hoffman, Mitchell","[Cullen, Zoe] Harvard Sch Business, Boston, MA 02163 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Harvard Kennedy Sch, Abdul Latif Jameel Poverty Act Lab, Cambridge, MA USA; Univ Toronto, Rotman Sch Management, Toronto, ON, Canada; Ctr Econ Policy Res, London, England"
WOS:000836097700001,"KLINE, P; ROSE, EK; WALTERS, CR","KLINE, P. A. T. R. I. C. K.; ROSE, E. V. A. N. K.; WALTERS, C. H. R. I. S. T. O. P. H. E. R. R.","[KLINE, P. A. T. R. I. C. K.] Univ Calif Berkeley, Berkeley, CA 94720 USA; Natl Bur Econ Res, Cambridge, MA USA; Univ Chicago, Chicago, IL 60637 USA"
WOS:000815161100001,"Carleton, T; Jina, A; Delgado, M; Greenstone, M; Houser, T; Hsiang, SL; Hultgren, A; Kopp, RE; McCusker, KE; Nath, I; Rising, J; Rode, A; Seo, HK; Viaene, A; Yuan, JC; Zhang, AT","Carleton, Tamma; Jina, Amir; Delgado, Michael; Greenstone, Michael; Houser, Trevor; Hsiang, Solomon; Hultgren, Andrew; Kopp, Robert E.; McCusker, Kelly E.; Nath, Ishan; Rising, James; Rode, Ashwin; Seo, Hee Kwon; Viaene, Arvid; Yuan, Jiacan; Zhang, Alice Tianbo","[Carleton, Tamma] Univ Calif Santa Barbara, Santa Barbara, CA 93106 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Univ Chicago, Chicago, IL 60637 USA; Rhodium Grp, New York, NY USA; Univ Calif Berkeley, Berkeley, CA 94720 USA; Rutgers State Univ, New Brunswick, NJ USA; Princeton Univ, Princeton, NJ 08544 USA; Univ Delaware, Newark, DE 19716 USA; World Bank, 1818 H St NW, Washington, DC 20433 USA; CompetitionSphere, Brussels, Belgium; Fudan Univ, Shanghai, Peoples R China; Washington & Lee Univ, Lexington, VA 24450 USA"
WOS:000770412500001,"Amiti, M; Itskhoki, O; Konings, J","Amiti, Mary; Itskhoki, Oleg; Konings, Jozef","[Amiti, Mary] Fed Reserve Bank New York, New York, NY 10045 USA; Univ Calif Los Angeles, Los Angeles, CA USA; Nazarbayev Univ, Grad Sch Business, Astana, Kazakhstan; Katholieke Univ Leuven, Leuven, Belgium; Univ Liverpool, Management Sch, Liverpool, Merseyside, England"
WOS:000764048500001,"DellaVigna, S; Heining, J; Schmieder, JF; Trenkle, S","DellaVigna, Stefano; Heining, Joerg; Schmieder, Johannes F.; Trenkle, Simon","[DellaVigna, Stefano] Univ Calif Berkeley, Berkeley, CA 94720 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Inst Employment Res IAB, Nurnberg, Germany; Boston Univ, Boston, MA 02215 USA; Inst Labor Econ IZA, Bonn, Germany; CESIFO, Munich, Germany"
WOS:000777482200001,"Angrist, J; Autor, D; Pallais, A","Angrist, Joshua; Autor, David; Pallais, Amanda","[Angrist, Joshua; Autor, David] MIT, 77 Massachusetts Ave, Cambridge, MA 02139 USA; [Angrist, Joshua; Autor, David; Pallais, Amanda] NBER, Cambridge, MA 02138 USA; [Pallais, Amanda] Harvard Univ, Cambridge, MA 02138 USA"
WOS:000489162100009,"Cantoni, D; Yang, DY; Yuchtman, N; Zhang, YJ","Cantoni, Davide; Yang, David Y.; Yuchtman, Noam; Zhang, Y. Jane","[Cantoni, Davide] Ludwig Maximilians Univ Munchen, Ctr Econ Policy Res, Munich, Germany; CESifo, Munich, Germany; [Yang, David Y.] Harvard Univ, Cambridge, MA 02138 USA; [Yang, David Y.] Abdul Latif Jameel Poverty Act Lab, Cambridge, MA USA; [Yuchtman, Noam] London Sch Econ, London, England; Natl Bur Econ Res, Cambridge, MA 02138 USA; [Zhang, Y. Jane] Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
WOS:000451281400001,"Falk, A; Becker, A; Dohmen, T; Enke, B; Huffman, D; Sunde, U","Falk, Armin; Becker, Anke; Dohmen, Thomas; Enke, Benjamin; Huffman, David; Sunde, Uwe","[Falk, Armin] Univ Bonn, Bonn, Germany; Harvard Univ, BRIQ Inst Behav & Inequal, Cambridge, MA 02138 USA; Harvard Univ, Inst Labor Econ, Cambridge, MA 02138 USA; Univ Pittsburgh, Natl Bur Econ Res, Pittsburgh, PA 15260 USA; Univ Munich, Munich, Germany"
WOS:000383326100007,"Araujo, MC; Carneiro, P; Cruz-Aguayo, Y; Schady, N","Araujo, M. Caridad; Carneiro, Pedro; Cruz-Aguayo, Yyannu; Schady, Norbert","[Araujo, M. Caridad] Interamer Dev Bank, Washington, DC 20577 USA; UCL, Inst Fiscal Studies, Ctr Microdata Methods & Practice, London WC1E 6BT, England"
WOS:000371602500008,"Boffa, F; Piolatto, A; Ponzetto, GAM","Boffa, Federico; Piolatto, Amedeo; Ponzetto, Giacomo A. M.","[Boffa, Federico] Free Univ Bolzano, Bolzano, Italy; Univ Barcelona, Inst Econ Barcelona, E-08007 Barcelona, Spain; Univ Pompeu Fabra, CREI, Barcelona, Spain; Barcelona GSE, Barcelona, Spain"
WOS:000365535400003,"Bronnenberg, BJ; Dubé, JP; Gentzkow, M; Shapiro, JM","Bronnenberg, Bart J.; Dube, Jean-Pierre; Gentzkow, Matthew; Shapiro, Jesse M.","[Bronnenberg, Bart J.] Tilburg Sch Econ & Management, Tilburg, Netherlands; Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA; NBER, Cambridge, MA 02138 USA; Stanford Univ, Stanford, CA 94305 USA; Brown Univ, Providence, RI 02912 USA"
WOS:000336146600007,"Cantoni, D; Yuchtman, N","Cantoni, Davide; Yuchtman, Noam","[Cantoni, Davide] Univ Munich, CEPR, D-81377 Munich, Germany; CESIFO, Munich, Germany; UC Berkeley Haas Sch Business & Nber, Berkeley, CA USA"
WOS:000330451700001,"Chodorow-Reich, G","Chodorow-Reich, Gabriel","Harvard Univ, Dept Econ, Cambridge, MA 02138 USA"
WOS:000330451700002,"Karabarbounis, L; Neiman, B","Karabarbounis, Loukas; Neiman, Brent","[Karabarbounis, Loukas] Univ Chicago, Chicago, IL 60637 USA"
WOS:000986374800001,"Bilal, A","Bilal, Adrien","[Bilal, Adrien] Harvard Univ, Cambridge, MA 02138 USA; [Bilal, Adrien] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Bilal, Adrien] Ctr Econ Policy Res, London, England"
WOS:000935187000001,"Buggle, J; Mayer, T; Sakalli, SO; Thoenig, M","Buggle, Johannes; Mayer, Thierry; Sakalli, Seyhun Orcan; Thoenig, Mathias",
WOS:000793034100001,"Xu, CZ","Xu, Chenzi","[Xu, Chenzi] Stanford Univ, Stanford, CA 94305 USA"
WOS:000770112400001,"Alvarez, F; Argente, D","Alvarez, Fernando; Argente, David","[Alvarez, Fernando] Univ Chicago, Chicago, IL 60637 USA; Penn State Univ, University Pk, PA 16802 USA"
WOS:000642334600002,"Bhandari, A; McGrattan, ER","Bhandari, Anmol; McGrattan, Ellen R.","[Bhandari, Anmol] Univ Minnesota, Minneapolis, MN 55455 USA; NBER, Cambridge, MA 02138 USA; Fed Reserve Bank Minneapolis, Minneapolis, MN 55480 USA"
WOS:000612198000007,"Le Barbanchon, T; Rathelot, R; Roulet, A","Le Barbanchon, Thomas; Rathelot, Roland; Roulet, Alexandra","[Le Barbanchon, Thomas] Bocconi Univ, Milan, Italy; [Rathelot, Roland] Univ Warwick, Coventry, W Midlands, England; [Roulet, Alexandra] INSEAD, Fontainebleau, France"
WOS:000489162800002,"Carlana, M","Carlana, Michela","[Carlana, Michela] Harvard Univ, Cambridge, MA 02138 USA"
WOS:000401981500009,"Levine, R; Rubinstein, Y","Levine, Ross; Rubinstein, Yona","[Levine, Ross] Univ Calif Berkeley, Berkeley, CA 94720 USA; NBER, Cambridge, MA 02138 USA; London Sch Econ, Ctr Econ Performance, London, England"
WOS:000371602500005,"Khan, AQ; Khwaja, AI; Olken, BA","Khan, Adnan Q.; Khwaja, Asim I.; Olken, Benjamin A.","[Khan, Adnan Q.] London Sch Econ, London, England; [Khan, Adnan Q.] Harvard Univ, Harvard Kennedy Sch, Cambridge, MA 02138 USA; [Khan, Adnan Q.] MIT, 77 Massachusetts Ave, Cambridge, MA 02139 USA"
WOS:000875748600001,"Grosjean, P; Masera, F; Yousaf, H","Grosjean, Pauline; Masera, Federico; Yousaf, Hasin","[Grosjean, Pauline] Univ New South Wales, Kensington, NSW, Australia; Ctr Econ Policy Res, London, England"
WOS:000864359300001,"Bordalo, P; Conlon, JJ; Gennaioli, N; Kwon, SY; Shleifer, A","Bordalo, Pedro; Conlon, John J.; Gennaioli, Nicola; Kwon, Spencer Y.; Shleifer, Andrei","[Bordalo, Pedro] Univ Oxford, Oxford, England; Harvard Univ, Cambridge, MA 02138 USA; Bocconi Univ, Milan, Italy"
WOS:000763959600001,"Lanzani, G","Lanzani, Giacomo","[Lanzani, Giacomo] MIT, 77 Massachusetts Ave, Cambridge, MA 02139 USA"
WOS:000612198000009,"Barron, D; Guo, YN","Barron, Daniel; Guo, Yingni","[Barron, Daniel; Guo, Yingni] Northwestern Univ, Evanston, IL 60208 USA"
WOS:000593217300010,"Behrens, K; Mion, G; Murata, Y; Suedekum, J","Behrens, Kristian; Mion, Giordano; Murata, Yasusada; Suedekum, Jens","[Behrens, Kristian] Univ Quebec Montreal, Natl Res Univ, Montreal, PQ, Canada; [Behrens, Kristian; Suedekum, Jens] Ctr Econ Policy Res, London, England; [Mion, Giordano] Univ Sussex, Ctr Econ Performance, Ctr Econ Policy Res, CESIFO, Brighton, E Sussex, England; [Mion, Giordano] Inst Econ & Social Res, Dublin, Ireland; [Murata, Yasusada] Nihon Univ, Tokyo, Japan; [Behrens, Kristian] Natl Res Univ, Tokyo, Japan; [Suedekum, Jens] Heinrich Heine Univ Dusseldorf, Ctr Econ Policy Res, Dusseldorf, Germany; [Mion, Giordano] CESIFO, Brighton, E Sussex, England"
WOS:000593217300004,"Deming, DJ; Noray, K","Deming, David J.; Noray, Kadeem","[Deming, David J.; Noray, Kadeem] Harvard Univ, Cambridge, MA 02138 USA; NBER, Cambridge, MA 02138 USA"
WOS:000544015700007,"Fajgelbaum, PD; Gaubert, C","Fajgelbaum, Pablo D.; Gaubert, Cecile","[Fajgelbaum, Pablo D.] Univ Calif Los Angeles, Los Angeles, CA 90024 USA; [Gaubert, Cecile] NBER, Cambridge, MA 02138 USA; [Gaubert, Cecile] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Gaubert, Cecile] Ctr Econ Policy Res, London, England"
WOS:000507362800008,"Liang, AN; Mu, XS","Liang, Annie; Mu, Xiaosheng",
WOS:000489163400010,"Coffman, LC; Conlon, JJ; Featherstone, CR; Kessler, JB","Coffman, Lucas C.; Conlon, John J.; Featherstone, Clayton R.; Kessler, Judd B.","[Coffman, Lucas C.; Conlon, John J.] Harvard Univ, Cambridge, MA 02138 USA; [Featherstone, Clayton R.; Kessler, Judd B.] Univ Penn, Wharton Sch, Philadelphia, PA 19104 USA; [Kessler, Judd B.] Natl Bur Econ Res, Cambridge, MA 02138 USA"
WOS:000451280400007,"Bayer, P; Charles, KK","Bayer, Patrick; Charles, Kerwin Kofi","[Bayer, Patrick] Duke Univ, Durham, NC 27706 USA; NBER, Cambridge, MA 02138 USA; Univ Chicago, Chicago, IL 60637 USA"
WOS:000412764300004,"Heathcote, J; Storesletten, K; Violante, GL","Heathcote, Jonathan; Storesletten, Kjetil; Violante, Giovanni L.","[Heathcote, Jonathan] Fed Reserve Bank Minneapolis, Minneapolis, MN 55401 USA; CEPR, Washington, DC USA; Univ Oslo, Oslo, Norway; Princeton Univ, Princeton, NJ 08544 USA; NBER, Cambridge, MA 02138 USA"
WOS:000365535400008,"Lewis, RA; Rao, JM","Lewis, Randall A.; Rao, Justin M.","[Lewis, Randall A.] Google, Menlo Pk, CA USA"
WOS:000346660500009,"Yanagizawa-Drott, D","Yanagizawa-Drott, David","Harvard Univ, John F Kennedy Sch Govt, Cambridge, MA 02138 USA"
WOS:001051517900001,"Christensen, P; Timmins, C","Christensen, Peter; Timmins, Christopher","[Christensen, Peter] Univ Illinois, Chicago, IL 60607 USA; [Timmins, Christopher] Duke Univ, Durham, NC USA"
WOS:000813230500001,"BYRNE, DP; MARTIN, LA; NAH, JS","BYRNE, D. A. V. I. D. P.; MARTIN, L. E. S. L. I. E. A.; NAH, J. I. A. S. H. E. E. N.","[BYRNE, D. A. V. I. D. P.] Univ Melbourne, Melbourne, Vic, Australia; Ctr Econ Policy Res, London, ON, Canada; Compass Lexecon, London, England"
WOS:000770415300001,"Avenancio-León, CF; Howard, T","Avenancio-Leon, Carlos F.; Howard, Troup","[Avenancio-Leon, Carlos F.] Univ Calif San Diego, San Diego, CA 92103 USA; [Howard, Troup] Univ Utah, Salt Lake City, UT 84112 USA"
WOS:000642334600005,"Marinescu, I; Skandalis, D","Marinescu, Ioana; Skandalis, Daphne","[Marinescu, Ioana] Univ Penn, Philadelphia, PA 19104 USA; [Skandalis, Daphne] Univ Copenhagen, Copenhagen, Denmark"
WOS:000672777600011,"Bessone, P; Rao, G; Schilbach, F; Schofield, H; Toma, M","Bessone, Pedro; Rao, Gautam; Schilbach, Frank; Schofield, Heather; Toma, Mattie","[Bessone, Pedro; Schilbach, Frank] MIT, Cambridge, MA 02139 USA; [Rao, Gautam; Toma, Mattie] Harvard Univ, Cambridge, MA 02138 USA; [Rao, Gautam; Schilbach, Frank] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Schofield, Heather] Univ Penn, Philadelphia, PA 19104 USA"
WOS:000642334600008,"Kehrig, M; Vincent, N","Kehrig, Matthias; Vincent, Nicolas","[Kehrig, Matthias] Duke Univ, Durham, NC 27706 USA; NBER, Cambridge, MA 02138 USA; Ctr Econ Policy Res, London, England; HEC MONTREAL, Montreal, PQ, Canada"
WOS:000593217300002,"Weigel, JL","Weigel, Jonathan L.","[Weigel, Jonathan L.] London Sch Econ, London, England; [Weigel, Jonathan L.] Ctr Econ Policy Res, London, England"
WOS:000544017700007,"Chetty, R; Friedman, JN; Saez, E; Turner, N; Yagan, D","Chetty, Raj; Friedman, John N.; Saez, Emmanuel; Turner, Nicholas; Yagan, Danny","[Chetty, Raj] Harvard Univ, Cambridge, MA 02138 USA; [Chetty, Raj; Friedman, John N.; Saez, Emmanuel; Yagan, Danny] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Friedman, John N.] Brown Univ, Providence, RI 02912 USA; [Saez, Emmanuel; Yagan, Danny] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Turner, Nicholas] Fed Reserve Board, Washington, DC USA"
WOS:000544017700001,"Hendren, N; Sprung-Keyser, B","Hendren, Nathaniel; Sprung-Keyser, Ben","[Hendren, Nathaniel; Sprung-Keyser, Ben] Harvard Univ, Cambridge, MA 02138 USA"
WOS:000544017700005,"Pflueger, C; Siriwardane, E; Sunderam, A","Pflueger, Carolin; Siriwardane, Emil; Sunderam, Adi","[Pflueger, Carolin] Univ Chicago, Chicago, IL 60637 USA; [Pflueger, Carolin; Sunderam, Adi] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Siriwardane, Emil; Sunderam, Adi] Harvard Sch Business, Boston, MA USA"
WOS:000451280400005,"Sorkin, I","Sorkin, Isaac","[Sorkin, Isaac] Stanford Univ, Stanford, CA 94305 USA; [Sorkin, Isaac] NBER, Cambridge, MA 02138 USA"
WOS:000401981500010,"Heidhues, P; Koszegi, B","Heidhues, Paul; Koszegi, Botond","[Heidhues, Paul] Univ Dusseldorf, DICE, Dusseldorf, Germany; Cent European Univ, Budapest, Hungary"
