UT,AU,AF,C1
WOS:000451280400008,"Fieldhouse, AJ; Mertens, K; Ravn, MO","Fieldhouse, Andrew J.; Mertens, Karel; Ravn, Morten O.","[Fieldhouse, Andrew J.] Cornell Univ, Ithaca, NY 14853 USA; Fed Reserve Bank Dallas, Ctr Econ Policy Res, Dallas, TX USA; UCL, Ctr Econ Policy Res, Ctr Macroecon, London, England"
WOS:000435871300003,"Herndrics, L; Schoellman, T","Herndrics, Lutz; Schoellman, Todd","[Herndrics, Lutz] Univ N Carolina, Chapel Hill, NC 27599 USA; Fed Reserve Bank Minneapolis, Minneapolis, MN 55480 USA"
WOS:000396771300006,"Giroud, X; Mueller, HM","Giroud, Xavier; Mueller, Holger M.","[Giroud, Xavier] MIT, Sloan Sch Management, Cambridge, MA 02139 USA; NBER, Cambridge, MA 02138 USA; CEPR, London, England; NYU, Stern Sch Business, New York, NY USA"
WOS:000396771300005,"Scheuer, F; Werning, I","Scheuer, Florian; Werning, Ivan","[Scheuer, Florian] Stanford Univ, Stanford, CA 94305 USA; Univ Zurich, Zurich, Switzerland; MIT, Cambridge, MA 02139 USA"
WOS:000388576700007,"Akerlof, R; Holden, R","Akerlof, Robert; Holden, Richard","[Akerlof, Robert] Univ Warwick, Coventry, W Midlands, England; UNSW Australia Business Sch, Sydney, NSW, Australia"
WOS:000383326100001,"Kirkeboen, LJ; Leuven, E; Mogstad, M","Kirkeboen, Lars J.; Leuven, Edwin; Mogstad, Magne","[Kirkeboen, Lars J.; Leuven, Edwin; Mogstad, Magne] Stat Norway, Oslo, Norway; Univ Oslo, N-0316 Oslo, Norway; Univ Chicago, Chicago, IL 60637 USA"
WOS:000359638900005,"Ivashina, V; Scharfstein, DS; Stein, JC","Ivashina, Victoria; Scharfstein, David S.; Stein, Jeremy C.","[Ivashina, Victoria; Scharfstein, David S.; Stein, Jeremy C.] Harvard Univ, Cambridge, MA 02138 USA; [Ivashina, Victoria; Scharfstein, David S.; Stein, Jeremy C.] NBER, Cambridge, MA 02138 USA"
WOS:001076716200001,"Brancaccio, G; Kalouptsidi, M; Papageorgiou, T; Rosaia, N","Brancaccio, Giulia; Kalouptsidi, Myrto; Papageorgiou, Theodore; Rosaia, Nicola","[Brancaccio, Giulia] NYU, New York, NY 10003 USA; Harvard Univ, Cambridge, MA USA; Boston Coll, Chestnut Hill, MA USA; Columbia Business Sch, New York, NY USA"
WOS:001030461600001,"Bianchi, F; Faccini, R; Melosi, L","Bianchi, Francesco; Faccini, Renato; Melosi, Leonardo","[Bianchi, Francesco] Johns Hopkins Univ, Baltimore, MD 21218 USA; NBER, Cambridge, MA USA; Ctr Econ Policy Res, London, England; Danmarks Nationalbank, Copenhagen, Denmark; Fed Reserve Bank Chicago, Chicago, IL USA"
WOS:001035117100001,"Greenwood, R; Hanson, S; Stein, JC; Sunderam, A","Greenwood, Robin; Hanson, Samuel; Stein, Jeremy C.; Sunderam, Adi","[Greenwood, Robin; Hanson, Samuel; Stein, Jeremy C.; Sunderam, Adi] Harvard Sch Business, Boston, MA 02163 USA"
WOS:000865127000001,"Chalendard, C; Fernandes, AM; Raballand, G; Rijkers, B","Chalendard, Cyril; Fernandes, Ana M.; Raballand, Gael; Rijkers, Bob","[Chalendard, Cyril] Int Trade Ctr, Geneva, Switzerland; World Bank, 1818 H St NW, Washington, DC 20433 USA; Univ Clermont Auvergne, CNRS, Clermont Ferrand, France; Ctr Etud & Rech Sur Dev Int, Clermont Ferrand, France; Univ Utrecht, Utrecht, Netherlands"
WOS:000764509800001,"Michelman, V; Price, J; Zimmerman, SD","Michelman, Valerie; Price, Joseph; Zimmerman, Seth D.","[Michelman, Valerie] Univ Chicago, Chicago, IL 60637 USA; Brigham Young Univ, Provo, UT 84602 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Yale SOM, New Haven, CT USA"
WOS:000743312400011,"Einav, L; Finkelstein, A; Ji, YA; Mahoney, N","Einav, Liran; Finkelstein, Amy; Ji, Yunan; Mahoney, Neale","[Einav, Liran; Mahoney, Neale] Stanford Univ, Stanford, CA 94305 USA; [Einav, Liran; Finkelstein, Amy; Mahoney, Neale] NBER, Cambridge, MA 02138 USA; [Finkelstein, Amy] MIT, Cambridge, MA 02139 USA; [Ji, Yunan] Harvard Univ, Cambridge, MA 02138 USA"
WOS:000728439200007,"Stantcheva, S","Stantcheva, Stefanie","[Stantcheva, Stefanie] Harvard Univ, Cambridge, MA 02138 USA; [Stantcheva, Stefanie] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Stantcheva, Stefanie] Ctr Econ Policy Res, London, England"
WOS:000642334600007,"Dahl, GB; Kotsadam, A; Rooth, DO","Dahl, Gordon B.; Kotsadam, Andreas; Rooth, Dan-Olof","[Dahl, Gordon B.] Univ Calif San Diego, San Diego, CA 92103 USA; [Kotsadam, Andreas] Ragnar Frisch Ctr Econ Res, Oslo, Norway; [Rooth, Dan-Olof] Stockholm Univ, Swedish Inst Social Res, Stockholm, Sweden"
WOS:000451281400007,"Spenkuch, JL; Toniatti, D","Spenkuch, Jorg L.; Toniatti, David","[Spenkuch, Jorg L.; Toniatti, David] Northwestern Univ, Kellogg Sch Management, Anal Grp, Evanston, IL 60208 USA"
WOS:000401981500001,"Atkin, D; Khandelwal, AK; Osman, A","Atkin, David; Khandelwal, Amit K.; Osman, Adam","[Atkin, David] MIT, Cambridge, MA 02139 USA; Columbia Business Sch, New York, NY USA; Univ Illinois, Urbana, IL 61801 USA"
WOS:000351525000003,"Agarwal, S; Chomsisengphet, S; Mahoney, N; Stroebel, J","Agarwal, Sumit; Chomsisengphet, Souphala; Mahoney, Neale; Stroebel, Johannes","[Agarwal, Sumit] Natl Univ Singapore, Singapore 117548, Singapore; Off Comptroller Currency, Washington, DC USA; Univ Chicago, Chicago, IL 60637 USA; NYU, New York, NY 10003 USA"
WOS:000346660500010,"Lehmann, E; Simula, L; Trannoy, A","Lehmann, Etienne; Simula, Laurent; Trannoy, Alain","[Lehmann, Etienne] Univ Paris 02, CRED, F-75231 Paris 05, France; [Lehmann, Etienne] CREST Uppsala Ctr Fiscal Studies, Uppsala, Sweden; Uppsala Univ, Uppsala, Sweden; Aix Marseille Univ, Aix Marseille Sch Econ, CNRS, Marseille, France; EHESS, Paris, France"
WOS:000813236400001,"Olea, JLM; Ortoleva, P; Pai, MM; Prat, A","Montiel Olea, Jose Luis; Ortoleva, Pietro; Pai, Mallesh M.; Prat, Andrea","[Montiel Olea, Jose Luis] Cornell Univ, Ithaca, NY 14853 USA; Princeton Univ, Princeton, NJ 08544 USA; Rice Univ, Houston, TX 77251 USA; Columbia Univ, New York, NY 10027 USA"
WOS:000770420700001,"Clayton, C; Schaab, A","Clayton, Christopher; Schaab, Andreas","[Clayton, Christopher] Yale Sch Management, New Haven, CT 06511 USA; Columbia Business Sch, New York, NY USA"
WOS:000743312400001,"Gethin, A; Martínez-Toledano, C; Piketty, T","Gethin, Amory; Martinez-Toledano, Clara; Piketty, Thomas","[Gethin, Amory; Piketty, Thomas] Ecole Hautes Etud Sci Sociales, Paris Sch Econ, Paris, France; [Martinez-Toledano, Clara] Imperial Coll London, London, England"
WOS:000728439200008,"Bonomi, G; Gennaioli, N; Tabellini, G","Bonomi, Giampaolo; Gennaioli, Nicola; Tabellini, Guido","[Bonomi, Giampaolo] Univ Calif San Diego, Dept Econ, San Diego, CA 92103 USA; Univ Bocconi, Dept Finance, Milan, Italy; Univ Bocconi, IGIER, Milan, Italy; Univ Bocconi, Dept Econ, Milan, Italy"
WOS:000728439200012,"Cantoni, E; Pons, V","Cantoni, Enrico; Pons, Vincent","[Cantoni, Enrico] Univ Bologna, Bologna, Italy; Harvard Sch Business, Boston, MA USA; Natl Bur Econ Res, Boston, MA USA"
WOS:000672777600005,"Abaluck, J; Bravo, MC; Hull, P; Starc, A","Abaluck, Jason; Bravo, Mauricio Caceres; Hull, Peter; Starc, Amanda","[Abaluck, Jason] Yale Univ, Sch Management, New Haven, CT 06520 USA; [Hull, Peter; Starc, Amanda] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Bravo, Mauricio Caceres] Brown Univ, Providence, RI 02912 USA; [Starc, Amanda] Northwestern Univ, Kellogg Sch Management, Evanston, IL 60208 USA"
WOS:000672777600008,"Hanson, SG; Lucca, DO; Wright, JH","Hanson, Samuel G.; Lucca, David O.; Wright, Jonathan H.","[Hanson, Samuel G.] Harvard Sch Business, Boston, MA 02163 USA; [Lucca, David O.] Fed Reserve Bank New York, New York, NY 10045 USA; [Wright, Jonathan H.] Johns Hopkins Univ, Baltimore, MD 21218 USA"
WOS:000544017700008,"Sandvik, JJ; Saouma, RE; Seegert, NT; Stanton, CT","Sandvik, Jason J.; Saouma, Richard E.; Seegert, Nathan T.; Stanton, Christopher T.","[Sandvik, Jason J.] Tulane Univ, New Orleans, LA 70118 USA; [Saouma, Richard E.] Michigan State Univ, E Lansing, MI 48824 USA; [Seegert, Nathan T.] Univ Utah, Salt Lake City, UT 84112 USA; [Stanton, Christopher T.] Harvard Sch Business, Boston, MA USA; Natl Bur Econ Res, Cambridge, MA 02138 USA"
WOS:000489163400009,"Hassan, TA; Hollander, S; van Lent, L; Tahoun, A","Hassan, Tarek A.; Hollander, Stephan; van Lent, Laurence; Tahoun, Ahmed","[Hassan, Tarek A.] Boston Univ, Boston, MA 02215 USA; [Hollander, Stephan] Tilburg Univ, Tilburg, Netherlands; [van Lent, Laurence] Frankfurt Sch Finance & Management, Frankfurt, Germany; [Tahoun, Ahmed] London Business Sch, London, England"
WOS:000489162100008,"Enke, B","Enke, Benjamin","[Enke, Benjamin] Harvard Univ, Cambridge, MA 02138 USA; [Enke, Benjamin] Natl Bur Econ Res, Cambridge, MA 02138 USA"
WOS:000489161300003,"Beraja, M; Fuster, A; Hurst, E; Vavra, J","Beraja, Martin; Fuster, Andreas; Hurst, Erik; Vavra, Joseph","[Beraja, Martin] MIT, Cambridge, MA 02139 USA; [Hurst, Erik; Vavra, Joseph] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Fuster, Andreas] Swiss Natl Bank, Bern, Switzerland; [Hurst, Erik; Vavra, Joseph] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA"
WOS:000489161300010,"Caicedo, FV","Caicedo, Felipe Valencia","[Caicedo, Felipe Valencia] Univ British Columbia, Vancouver Sch Econ, Vancouver, BC, Canada; IZA, Bonn, Germany"
WOS:000451280400001,"Chetty, R; Hendren, N","Chetty, Raj; Hendren, Nathaniel","[Chetty, Raj] Stanford Univ, Stanford, CA 94305 USA; NBER, Cambridge, MA 02138 USA; Harvard Univ, Cambridge, MA 02138 USA"
WOS:000435871300004,"Dell, M; Querubin, P","Dell, Melissa; Querubin, Pablo","[Dell, Melissa] Harvard Univ, Cambridge, MA 02138 USA; NYU, Natl Bur Econ Res, New York, NY 10003 USA"
WOS:000412764300003,"Fajgelbaum, PD; Schaal, E; Taschereau-Dumouchel, M","Fajgelbaum, Pablo D.; Schaal, Edouard; Taschereau-Dumouchel, Mathieu","[Fajgelbaum, Pablo D.] Univ Calif Los Angeles, Los Angeles, CA 90095 USA; Univ Pompeu Fabra, Barcelona, Spain; CREI, Barcelona, Spain; Univ Penn, Wharton Sch, Philadelphia, PA 19104 USA"
WOS:000406177000004,"Glover, D; Pallais, A; Pariente, W","Glover, Dylan; Pallais, Amanda; Pariente, William","[Glover, Dylan] Sci Po, Paris, France; Harvard Univ, Cambridge, MA 02138 USA; NBER, Cambridge, MA 02138 USA; Catholic Univ Louvain, IRES, Louvain La Neuve, Belgium"
WOS:000383326100006,"Ponticelli, J; Alencar, LS","Ponticelli, Jacopo; Alencar, Leonardo S.","[Ponticelli, Jacopo] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA; Cent Bank Brazil, Res Dept, Brasilia, DF, Brazil"
WOS:000342236000008,"Buser, T; Niederle, M; Oosterbeek, H","Buser, Thomas; Niederle, Muriel; Oosterbeek, Hessel","[Buser, Thomas] Univ Amsterdam, NL-1012 WX Amsterdam, Netherlands; Stanford Univ, Stanford, CA 94305 USA; NBER, Cambridge, MA 02138 USA"
WOS:000342236000003,"Chetty, R; Friedman, JN; Leth-Petersen, S; Nielsen, TH; Olsen, T","Chetty, Raj; Friedman, John N.; Leth-Petersen, Soren; Nielsen, Torben Heien; Olsen, Tore","[Chetty, Raj] Harvard Univ, Cambridge, MA 02138 USA; NBER, Cambridge, MA 02138 USA; Univ Copenhagen, DK-1168 Copenhagen, Denmark"
WOS:000336146600008,"Agarwal, S; Lucca, D; Seru, A; Trebbi, F","Agarwal, Sumit; Lucca, David; Seru, Amit; Trebbi, Francesco","[Agarwal, Sumit] Natl Univ Singapore, Singapore 117548, Singapore; Fed Reserve Bank New York, New York, NY USA; Univ Chicago, Chicago, IL 60637 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Univ British Columbia, Natl Bur Econ Researc, Vancouver, BC V5Z 1M9, Canada"
WOS:000946927000001,"Bursztyn, L; Egorov, G; Haaland, I; Rao, AK; Roth, C","Bursztyn, Leonardo; Egorov, Georgy; Haaland, Ingar; Rao, Aakaash; Roth, Christopher","[Bursztyn, Leonardo] Univ Chicago, Natl Bur Econ Res, Chicago, IL 60637 USA; Natl Bur Econ Res, Chicago, IL USA; Kellogg Sch Management, Evanston, IL USA; NHH Norwegian Sch Econ, Oslo, Norway; Harvard Univ, Cambridge, MA USA; Univ Cologne, Cologne, Germany; Max Planck Inst Res Collect Goods, Bonn, Germany; Ctr Econ Policy & Res, London, England"
WOS:000743312400009,"Bianchi, J; Mondragon, J","Bianchi, Javier; Mondragon, Jorge","[Bianchi, Javier] Fed Reserve Bank Minneapolis, Minneapolis, MN 55480 USA; [Mondragon, Jorge] Ecole Polytech Fed Lausanne, Lausanne, Switzerland"
WOS:000612198000003,"Ang, D","Ang, Desmond","[Ang, Desmond] Harvard Univ, Cambridge, MA 02138 USA"
WOS:000593217300009,"Barnichon, R; Mesters, G","Barnichon, Regis; Mesters, Geert","[Barnichon, Regis] Fed Reserve Bank San Francisco, San Francisco, CA 94105 USA; [Mesters, Geert] Univ Pompeu Fabra, Barcelona Grad Sch Econ, Barcelona, Spain; [Mesters, Geert] Vrije Univ Amsterdam, Amsterdam, Netherlands"
WOS:000544017700002,"Backus, M; Blake, T; Larsen, B; Tadelis, S","Backus, Matthew; Blake, Thomas; Larsen, Brad; Tadelis, Steven","[Backus, Matthew] Columbia Univ, New York, NY 10027 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Ctr Econ Policy Res, Washington, DC USA; EBAY Res, San Jose, CA USA; Univ Calif Berkeley, Berkeley, CA 94720 USA; CESifo, Munich, Germany"
WOS:000544015700009,"Ashraf, N; Bau, N; Low, C; Mcginn, K","Ashraf, Nava; Bau, Natalie; Low, Corinne; Mcginn, Kathleen","[Ashraf, Nava] London Sch Econ, Ctr Econ Policy Res, London, England; Bur Res & Econ Anal Dev, Cambridge, MA USA; [Bau, Natalie] Univ Calif Los Angeles, Los Angeles, CA 90024 USA; [Bau, Natalie] Canadian Inst Adv Res, Toronto, ON, Canada; [Low, Corinne] Univ Penn, Wharton Sch, Philadelphia, PA 19104 USA; [Mcginn, Kathleen] Harvard Sch Business, Boston, MA USA"
WOS:000507362800009,"Caselli, F; Koren, M; Lisicky, M; Tenreyro, S","Caselli, Francesco; Koren, Miklos; Lisicky, Milan; Tenreyro, Silvana","[Caselli, Francesco] London Sch Econ, Ctr Macroecon, Ctr Econ Policy Res, London, England; [Koren, Miklos] Cent European Univ, Kozgazdasag Regionalis Tudomanyi Kutatokozpont, CEPR, Budapest, Hungary; [Lisicky, Milan] European Commiss, Brussels, Belgium; [Tenreyro, Silvana] London Sch Econ, Ctr Macroecon, Ctr Econ Policy Res, Bank England, London, England"
WOS:000507362800005,"Eliason, PJ; Heebsh, B; Mcdevitt, RC; Roberts, JW","Eliason, Paul J.; Heebsh, Benjamin; Mcdevitt, Ryan C.; Roberts, James W.","[Eliason, Paul J.] Brigham Young Univ, Provo, UT 84602 USA; [Heebsh, Benjamin; Roberts, James W.] Duke Univ, Durham, NC 27706 USA; [Mcdevitt, Ryan C.] Duke Univ, Fuqua Sch Business, Durham, NC 27706 USA; [Roberts, James W.] Natl Bur Econ Res, Cambridge, MA 02138 USA"
WOS:000489162800008,"Finkelstein, A; Notowidigdo, MJ","Finkelstein, Amy; Notowidigdo, Matthew J.","[Finkelstein, Amy] MIT, Cambridge, MA 02139 USA; [Notowidigdo, Matthew J.] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Notowidigdo, Matthew J.] J PAL North Amer Northwestern, Cambridge, MA USA; J PAL North Amer, Cambridge, MA USA"
WOS:000489162100006,"Costinot, A; Donaldson, D; Kyle, M; Williams, H","Costinot, Arnaud; Donaldson, Dave; Kyle, Margaret; Williams, Heidi","[Costinot, Arnaud; Donaldson, Dave] MIT, Ctr Econ & Policy Res, Cambridge, MA 02139 USA; [Donaldson, Dave; Williams, Heidi] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Kyle, Margaret] MINES ParisTech, Paris, France; [Kyle, Margaret] Ctr Econ & Policy Res, Washington, DC USA; [Williams, Heidi] MIT, Cambridge, MA 02139 USA"
WOS:000489161300004,"Chen, T; Kung, JKS","Chen, Ting; Kung, James Kai-Sing","[Chen, Ting] Hong Kong Baptist Univ, Hong Kong, Peoples R China; [Kung, James Kai-Sing] Univ Hong Kong, Hong Kong, Peoples R China"
WOS:000451280400002,"Chetty, R; Hendren, N","Chetty, Raj; Hendren, Nathaniel","[Chetty, Raj] Stanford Univ, Stanford, CA 94305 USA; NBER, Cambridge, MA 02138 USA; Harvard Univ, Cambridge, MA 02138 USA"
WOS:000406177000006,"Bhargava, S; Loewenstein, G; Sydnor, J","Bhargava, Saurabh; Loewenstein, George; Sydnor, Justin","[Bhargava, Saurabh; Loewenstein, George] Carnegie Mellon Univ, Pittsburgh, PA 15213 USA; Wisconsin Sch Business, Madison, WI USA"
WOS:000396771300003,"Arezki, R; Ramey, VA; Sheng, LG","Arezki, Rabah; Ramey, Valerie A.; Sheng, Liugang","[Arezki, Rabah] Int Monetary Fund, Res Dept, Washington, DC 20431 USA; OXCARRE, Oxford, England; Univ Calif San Diego, San Diego, CA 92103 USA; NBER, Cambridge, MA 02138 USA; Chinese Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China"
WOS:000365535400009,"Farber, HS","Farber, Henry S.","[Farber, Henry S.] Princeton Univ, Princeton, NJ 08544 USA"
WOS:000351525000005,"Bartling, B; Weber, RA; Yao, L","Bartling, Bjorn; Weber, Roberto A.; Yao, Lan","[Bartling, Bjorn] Univ Zurich, CH-8006 Zurich, Switzerland; Shanghai Univ Finance & Econ, Shanghai, Peoples R China"
WOS:000346660500003,"Gabaix, X","Gabaix, Xavier","NYU, New York, NY 10003 USA"
WOS:000854284500001,"Caprettini, B; Voth, HJ","Caprettini, Bruno; Voth, Hans-Joachim","[Caprettini, Bruno] Univ St Gallen, St Gallen, Switzerland; Univ Zurich, Zurich, Switzerland"
WOS:000743312400012,"Ali, SN; Haghpanah, N; Lin, X; Siegel, R","Ali, S. Nageeb; Haghpanah, Nima; Lin, Xiao; Siegel, Ron","[Ali, S. Nageeb; Haghpanah, Nima; Lin, Xiao; Siegel, Ron] Penn State Univ, University Pk, PA 16802 USA"
WOS:000507362800006,"Card, D; Dellavigna, S; Funk, P; Iriberri, N","Card, David; Dellavigna, Stefano; Funk, Patricia; Iriberri, Nagore","[Card, David; Dellavigna, Stefano] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Card, David; Dellavigna, Stefano] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Funk, Patricia] Univ Svizzera Italiana, Lugano, Switzerland; [Iriberri, Nagore] Univ Basque Country, Leioa, Spain; [Iriberri, Nagore] Ikerbasque, Bilbao, Spain"
WOS:000489163400006,"Adao, R; Kolesár, M; Morales, E","Adao, Rodrigo; Kolesar, Michal; Morales, Eduardo","[Adao, Rodrigo] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA; Princeton Univ, Princeton, NJ 08544 USA"
WOS:000435871300008,"Iaria, A; Schwarz, C; Waldinger, F","Iaria, Alessandro; Schwarz, Carlo; Waldinger, Fabian","[Iaria, Alessandro] Univ Brighton, Brighton, E Sussex, England; Univ Warwick, Coventry, W Midlands, England; London Sch Econ, London, England"
WOS:000406177000001,"Bold, T; Kaizzi, KC; Svensson, J; Yanagizawa-Drott, D","Bold, Tessa; Kaizzi, Kayuki C.; Svensson, Jakob; Yanagizawa-Drott, David","[Bold, Tessa] Stockholm Univ, Ctr Econ & Policy Res, Inst Int Econ Studies, Stockholm, Sweden; Natl Agr Res Labs, Kampala, Uganda; Univ Zurich, Natl Bur Econ Res, Zurich, Switzerland"
WOS:000380249200003,"Card, D; Cardoso, AR; Kline, P","Card, David; Cardoso, Ana Rute; Kline, Patrick","[Card, David] Univ Calif Berkeley, Berkeley, CA 94720 USA; IAE CSIC, Barcelona, Spain; Barcelona GSE, Barcelona, Spain"
WOS:000342236000005,"Piketty, T; Zucman, G","Piketty, Thomas; Zucman, Gabriel","[Piketty, Thomas] Paris Sch Econ, Paris, France; London Sch Econ, London, England; Univ Calif Berkeley, Berkeley, CA USA"
WOS:000988606100001,"Jacobsen, MR; Sallee, JM; Shapiro, JS; van Benthem, AA","Jacobsen, Mark R.; Sallee, James M.; Shapiro, Joseph S.; van Benthem, Arthur A.","[Jacobsen, Mark R.] Univ Calif San Diego,, La Jolla, CA 92093 USA; [Jacobsen, Mark R.] Natl Bur Econ Res, Cambridge, MA 02138 USA; Univ Calif Berkeley, Berkeley, CA USA; Univ Penn, Philadelphia, PA USA"
WOS:000803708500001,"Arteaga, F; Kapor, AJ; Neilson, CA; Zimmerman, SD","Arteaga, Felipe; Kapor, Adam J.; Neilson, Ciiristopiier A.; Zimmerman, Seth D.","[Arteaga, Felipe] Univ Calif Berkeley, Berkeley, CA 94720 USA; Princeton Univ, Princeton, NJ 08544 USA; NBER, Cambridge, MA 02138 USA; Yale Sch Management, New Haven, CT USA"
WOS:000785751900001,"Meyer, J; Reinhart, CM; Trebesch, C","Meyer, Josefin; Reinhart, Carmen M.; Trebesch, Christoph","[Meyer, Josefin] DIW Berlin, Berlin, Germany; Kiel Inst, Kiel, Germany; Harvard Univ, Cambridge, MA 02138 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA"
WOS:000770118700001,"Bilk, A; Blandin, A; Rogerson, R","Bilk, Alexander; Blandin, Adam; Rogerson, Richard","[Bilk, Alexander] Arizona State Univ, Tempe, AZ 85287 USA; Virginia Commonwealth Univ, Richmond, VA 23284 USA; Princeton Univ, Princeton, NJ 08544 USA"
WOS:000743312400003,"Bleemer, Z","Bleemer, Zachary","[Bleemer, Zachary] Univ Calif Berkeley, Berkeley, CA 94720 USA"
WOS:000672777600003,"Breza, E; Kinnan, C","Breza, Emily; Kinnan, Cynthia","[Breza, Emily] Harvard Univ, Cambridge, MA 02138 USA; [Kinnan, Cynthia] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Kinnan, Cynthia] Tufts Univ, Medford, MA 02155 USA"
WOS:000672777600012,"Setzler, B; Tintelnot, F","Setzler, Bradley; Tintelnot, Felix","[Setzler, Bradley; Tintelnot, Felix] Univ Chicago, Chicago, IL 60637 USA; [Tintelnot, Felix] Natl Bur Econ Res, Cambridge, MA 02138 USA"
WOS:000672777600001,"Farber, HS; Herbst, D; Kitziemko, I; Naidu, S","Farber, Henry S.; Herbst, Daniel; Kitziemko, Ilyana; Naidu, Suresh","[Farber, Henry S.; Kitziemko, Ilyana] Princeton Univ, Princeton, NJ 08544 USA; [Herbst, Daniel] Univ Arizona, Tucson, AZ 85721 USA; [Naidu, Suresh] Columbia Univ, New York, NY 10027 USA"
WOS:000642334600006,"Augenblick, N; Rabin, M","Augenblick, Ned; Rabin, Matthew","[Augenblick, Ned] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Rabin, Matthew] Harvard Univ, Cambridge, MA 02138 USA"
WOS:000593217300003,"Jäger, S; Schoefer, B; Young, S; Zweimüller, J","Jager, Simon; Schoefer, Benjamin; Young, Samuel; Zweimuller, Josef","[Jager, Simon; Young, Samuel] MIT, Cambridge, MA 02139 USA; NBER, Cambridge, MA 02138 USA; [Schoefer, Benjamin] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Zweimuller, Josef] Univ Zurich, Zurich, Switzerland"
WOS:000489162800001,"Alan, S; Boneva, T; Ertac, S","Alan, Sule; Boneva, Teodora; Ertac, Seda","[Alan, Sule] Univ Essex, Colchester, Essex, England; [Alan, Sule] Bilkent Univ, Bilkent, Turkey; [Boneva, Teodora] Univ Oxford, Abdul Latif Jameel Poverty Act Lab, Oxford, England; [Ertac, Seda] KOC Univ, Istanbul, Turkey"
WOS:000423802600004,"Agan, A; Starr, S","Agan, Amanda; Starr, Sonja","[Agan, Amanda] Rutgers State Univ, New Brunswick, NJ 08901 USA; Univ Michigan, Ann Arbor, MI 48109 USA"
WOS:000423802600001,"de la Croix, D; Doepke, M; Mokyr, J","de la Croix, David; Doepke, Matthias; Mokyr, Joel","[de la Croix, David] Catholic Univ Louvain, IRES, Louvain La Neuve, Belgium; Northwestern Univ, Evanston, IL 60208 USA"
WOS:000423802600005,"Kleinberg, J; Lakkaraju, H; Leskovec, J; Ludwig, J; Mullainathan, S","Kleinberg, Jon; Lakkaraju, Himabindu; Leskovec, Jure; Ludwig, Jens; Mullainathan, Sendhil","[Kleinberg, Jon] Cornell Univ, Ithaca, NY 14853 USA; Stanford Univ, Stanford, CA 94305 USA; Univ Chicago, Chicago, IL 60637 USA; NBER, Cambridge, MA 02138 USA; Harvard Univ, CEPR, NBER, Cambridge, MA 02138 USA; BREAD, Richmond Hts, MO USA"
WOS:000396771300009,"Dustmann, C; Schönberg, U; Stuhler, J","Dustmann, Christian; Schoenberg, Uta; Stuhler, Jan","[Dustmann, Christian] UCL, London, England; Ctr Res & Anal Migrat, London, England; Univ Carlos III Madrid, Getafe, Spain"
WOS:000396771300008,"Martin, I","Martin, Ian","[Martin, Ian] London Sch Econ, London, England"
WOS:000380249200009,"David, JM; Hopenhayn, HA; Venkateswaran, V","David, Joel M.; Hopenhayn, Hugo A.; Venkateswaran, Venky","[David, Joel M.] Univ Southern Calif, Los Angeles, CA 90089 USA; Univ Calif Los Angeles, Los Angeles, CA 90024 USA; NYU, Stern Sch Business, New York, NY 10003 USA"
WOS:000351525000010,"Jacob, BA; Kapustin, M; Ludwig, J","Jacob, Brian A.; Kapustin, Max; Ludwig, Jens","[Jacob, Brian A.] Univ Michigan, Ann Arbor, MI 48109 USA; NBER, Cambridge, MA 02138 USA; Univ Chicago, Chicago, IL 60637 USA"
WOS:000342236000001,"Hsieh, CT; Klenow, PJ","Hsieh, Chang-Tai; Klenow, Peter J.","[Hsieh, Chang-Tai] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA; NBER, Cambridge, MA 02138 USA; Stanford Univ, Stanford, CA 94305 USA; SIEPR, Stanford, CA USA"
WOS:000336146600005,"Blattman, C; Fiala, N; Martinez, S","Blattman, Christopher; Fiala, Nathan; Martinez, Sebastian","[Blattman, Christopher] Columbia Univ, New York, NY 10027 USA; German Inst Econ Res, Berlin, Germany; Inter Amer Dev Bank, Washington, DC USA"
WOS:000986429900001,"Berger, D; Bocola, L; Dovis, A","Berger, David; Bocola, Luigi; Dovis, Alessandro","[Berger, David] Duke Univ, Durham, NC 27708 USA; Stanford Univ, Stanford, CA USA; Univ Penn, Philadelphia, PA USA"
