UT,AU,AF
WOS:000401981500007,"Angrist, JD; Hull, PD; Pathak, PA; Walters, CR","Angrist, Joshua D.; Hull, Peter D.; Pathak, Parag A.; Walters, Christopher R."
WOS:000351525000008,"Busse, MR; Pope, DG; Pope, JC; Silva-Risso, J","Busse, Meghan R.; Pope, Devin G.; Pope, Jaren C.; Silva-Risso, Jorge"
WOS:000351525000006,"Caselli, F; Morelli, M; Rohner, D","Caselli, Francesco; Morelli, Massimo; Rohner, Dominic"
WOS:000336146600003,"Karlan, D; Osei, R; Osei-Akoto, I; Udry, C","Karlan, Dean; Osei, Robert; Osei-Akoto, Isaac; Udry, Christopher"
WOS:001017928700001,"Finlay, K; Mueller-Smith, M; Street, B","Finlay, Keith; Mueller-Smith, Michael; Street, Brittany"
WOS:000836166500001,"Greenberg, K; Gudgeon, M; Isen, A; Miller, C; Patterson, R","Greenberg, Kyle; Gudgeon, Matthew; Isen, Adam; Miller, Corbin; Patterson, Richard"
WOS:000764873200001,"Balboni, C; Bandiera, O; Burgess, R; Ghatak, M; Heil, A","Balboni, Clare; Bandiera, Oriana; Burgess, Robin; Ghatak, Maitreesh; Heil, Anton"
WOS:000642334600010,"Christensen, D; Dube, O; Haushofer, J; Siddiqi, B; Voors, M","Christensen, Darin; Dube, Oeindrila; Haushofer, Johannes; Siddiqi, Bilal; Voors, Maarten"
WOS:000672777600007,"Hartzmark, SM; Hirshman, SD; Imas, A","Hartzmark, Samuel M.; Hirshman, Samuel D.; Imas, Alex"
WOS:000612198000012,"Harel, M; Mossel, E; Strack, P; Tamuz, O","Harel, Matan; Mossel, Elchanan; Strack, Philipp; Tamuz, Omer"
WOS:000544017700010,"Kamada, Y; Sugaya, T","Kamada, Yuichiro; Sugaya, Takuo"
WOS:000396771300010,"Battaglini, M","Battaglini, Marco"
WOS:000371602500002,"Malmendier, U; Nagel, S","Malmendier, Ulrike; Nagel, Stefan"
WOS:000346660500005,"Brunnermeier, MK; Simsek, A; Xiong, W","Brunnermeier, Markus K.; Simsek, Alp; Xiong, Wei"
WOS:000342236000009,"Olea, JLM; Strzalecki, T","Olea, Jose Luis Montiel; Strzalecki, Tomasz"
WOS:000336146600006,"Puga, D; Trefler, D","Puga, Diego; Trefler, Daniel"
WOS:000926656800001,"Dix-Carneiro, R; Pessoa, JP; Reyes-Heroles, R; Traiberman, S","Dix-Carneiro, Rafael; Pessoa, Joao Paulo; Reyes-Heroles, Ricardo; Traiberman, Sharon"
WOS:000806495000001,"Deshpande, M; Mueller-Smith, M","Deshpande, Manasi; Mueller-Smith, Michael"
